人员类别,工号,姓名,性别,民族,联系方式,出生日期,居住地址,入职时间,部门,岗位
站务人员,t0001,卓凯泽,男,汉,17703468108,1975/5/21,西安市阎良区阎良西路,2017/1/9,客服部门,站务员
站务人员,t0002,宫欣怡,男,汉,18993633113,1988/11/25,西安市长安区长安西路,2020/11/9,客服部门,站务员
站务人员,t0003,师英资,男,汉,13210507962,1985/10/17,西安市周至县周至西路,2021/8/26,客服部门,站务员
站务人员,t0004,边元武,男,汉,17066655325,1995/2/5,西安市户县户县西路,2012/1/24,客服部门,站务员
站务人员,t0005,公华清,男,汉,15259459621,1984/7/18,西安市蓝田县蓝田西路,2007/12/21,客服部门,站务员
站务人员,t0006,焦斯伯,男,汉,15765578284,1979/2/28,西安市高陵区高陵西路,2015/12/24,客服部门,售票员
站务人员,t0007,阚承宣,男,汉,18237458925,1977/5/13,西安市临潼区临潼西路,2020/9/26,客服部门,售票员
站务人员,t0008,惠丰茂,男,汉,17230067219,1994/2/19,西安市鄠邑区鄠邑西路,2018/12/3,客服部门,售票员
站务人员,t0009,沃力学,男,汉,13817505121,1997/5/3,西安市高新区高新东路,2005/8/21,客服部门,售票员
站务人员,t0010,党天佑,男,汉,17767938026,1977/6/28,西安市雁塔区雁塔南路,2010/5/31,客服部门,安检员
站务人员,t0011,冉嘉实,男,汉,18213981291,1977/12/16,西安市碑林区碑林北路,2008/2/16,客服部门,安检员
站务人员,t0012,满楚洁,男,汉,18462564813,1970/7/6,西安市周至县周至大街,2010/5/12,客服部门,安检员
站务人员,t0013,侯海冬,男,汉,18680002255,1978/10/17,西安市户县户县大街,2013/7/15,客服部门,安检员
站务人员,t0014,漕施诗,男,汉,18252418932,1983/4/14,西安市蓝田县蓝田大道,2020/4/4,客服部门,安检员
站务人员,t0015,权觅风,男,汉,18500904722,1987/9/15,西安市高陵区高陵大道,2008/9/30,站台管理部门,安全员
站务人员,t0016,蒋华乐,男,汉,17314381619,1985/11/2,西安市临潼区临潼大街,2020/7/29,站台管理部门,安全员
站务人员,t0017,郜添智,男,汉,19986889888,1979/10/2,西安市鄠邑区鄠邑大道,2018/5/6,站台管理部门,安全员
站务人员,t0018,习念珍,女,汉,18932985334,1988/2/18,西安市高新区科技路,2008/3/17,站台管理部门,安全员
站务人员,t0019,衡奇文,女,汉,18210909705,1987/3/10,西安市雁塔区雁塔路,2016/12/10,站台管理部门,安全员
站务人员,t0020,印清悦,女,汉,15344278703,1995/3/29,西安市碑林区文艺路,2011/1/31,站台管理部门,安全员
站务人员,t0021,国瑜英,女,汉,17637475919,1996/4/27,西安市新城区新城大道,2017/6/25,站台管理部门,紧急响应人员
站务人员,t0022,韩茹云,女,汉,15640521351,1981/5/23,西安市雁塔区大雁塔南路,2019/7/28,站台管理部门,紧急响应人员
站务人员,t0023,关子童,女,汉,13891474280,2000/9/10,西安市碑林区钟楼东大街,2021/1/6,站台管理部门,站台管理员
站务人员,t0024,惠初瑶,女,汉,15195579428,1977/6/21,西安市新城区南门外大街,2015/2/10,站台管理部门,站台管理员
站务人员,t0025,崔悠馨,女,汉,13355146141,1980/8/17,西安市莲湖区西一环路,2017/12/20,站台管理部门,站台管理员
站务人员,t0026,魏俏美,女,汉,15039004813,1971/6/19,西安市高新区高新路,2011/3/8,站台管理部门,站台管理员
站务人员,t0027,古忆南,女,汉,13081046392,1971/5/11,西安市未央区未央路,2014/7/27,站台管理部门,信息员
站务人员,t0028,麴书蕾,女,汉,17653982832,1970/11/28,西安市灞桥区纬一路,2016/3/19,站台管理部门,信息员
站务人员,t0029,金优悠,女,汉,13154362704,1994/9/25,西安市阎良区阎良大道,2014/8/2,站台管理部门,信息员
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
