人员类别,工号,姓名,性别,民族,联系方式,出生日期,居住地址,入职时间,部门,岗位,岗位级别
管理人员,g0001,居鹏海,男,汉,14715664547,1981/1/25,西安市莲湖区莲湖路,2021/8/16,,,
管理人员,g0002,毛承嗣,男,汉,17586405085,1970/7/21,西安市高新区高新南路,2019/12/1,,,
管理人员,g0003,许嘉谊,男,汉,13000902008,1976/1/11,西安市未央区未央大道,2009/2/3,,,
管理人员,g0004,朱承平,男,汉,13241242145,1988/3/15,西安市灞桥区灞桥路,2018/3/31,,,
管理人员,g0005,通永春,男,汉,16633227708,1985/6/7,西安市阎良区阎良路,2011/4/17,,,
管理人员,g0006,贺煜祺,男,汉,18008315762,1984/4/11,西安市长安区长安大道,2015/7/23,,,
管理人员,g0007,刘修能,男,汉,15256356151,1996/8/16,西安市周至县周至路,2005/3/10,,,
管理人员,g0008,池鹏云,男,汉,18523223317,1994/4/22,西安市户县户县路,2010/7/19,,,
管理人员,g0009,郗修远,男,汉,13840533035,1975/8/16,西安市蓝田县蓝田路,2018/9/11,,,
管理人员,g0010,申鸿达,男,汉,15539459317,1976/9/28,西安市高陵区高陵路,2012/8/28,,,
管理人员,g0011,孟高昂,男,汉,15247876907,1992/11/24,西安市临潼区临潼路,2010/11/28,,,
管理人员,g0012,贺元驹,男,汉,19134683711,1980/4/7,西安市高新区高新路,2009/9/25,,,
管理人员,g0013,宦高阳,男,汉,14508878332,1985/11/12,西安市未央区未央路,2011/1/18,,,
管理人员,g0014,仰经略,男,汉,18567055730,1972/6/23,西安市灞桥区纬一路,2005/12/15,,,
管理人员,g0015,巴阳冰,男,汉,15742908518,1987/5/27,西安市阎良区阎良大道,2006/1/13,,,
管理人员,g0016,扈正真,男,汉,15321715795,1984/12/17,西安市长安区长安路,2017/9/11,,,
管理人员,g0017,鄂明朗,男,汉,13795419682,1988/10/16,西安市周至县周至大街,2006/2/22,,,
管理人员,g0018,厉弘文,男,汉,19805534109,1975/11/4,西安市户县户县大街,2005/4/29,,,
管理人员,g0019,麴锐泽,男,汉,13541592575,1979/2/4,西安市蓝田县蓝田大道,2012/10/6,,,
管理人员,g0020,邱明亮,男,汉,18959001737,1972/12/23,西安市高陵区高陵大道,2010/3/22,,,
管理人员,g0021,幸文耀,男,汉,13135349649,1972/9/8,西安市临潼区临潼大街,2006/4/13,,,
管理人员,g0022,靳嘉洁,女,汉,16553241336,1977/12/11,西安市鄠邑区鄠邑大道,2020/5/4,,,
管理人员,g0023,陆觅海,女,汉,15264796099,1977/4/21,西安市高新区科技路,2021/10/26,,,
管理人员,g0024,靳春翠,女,汉,17006922596,1984/11/27,西安市雁塔区雁塔路,2011/4/24,,,
管理人员,g0025,钭方仪,女,汉,13697329363,1981/6/15,西安市碑林区文艺路,2015/1/31,,,
管理人员,g0026,秦卓婷,女,汉,13718256539,1975/9/21,西安市新城区新城大道,2017/1/22,,,
管理人员,g0027,任吉敏,女,汉,13472738556,1992/4/3,西安市莲湖区莲湖路,2012/11/20,,,
管理人员,g0028,景碧春,女,汉,18192155539,1971/10/4,西安市高新区高新南路,2006/3/25,,,
管理人员,g0029,游雅安,女,汉,17724436442,1990/8/16,西安市未央区未央大道,2005/4/9,,,
管理人员,g0030,唐一瑾,女,汉,15894924240,1976/12/1,西安市灞桥区灞桥路,2013/7/17,,,
