人员类别,工号/志愿者编号,姓名,性别,民族,联系方式,出生日期,居住地址,入职时间,部门,岗位,岗位级别
维保人员,m0001,步和昶,男,汉,17116821363,1970/2/9,西安市雁塔区大雁塔南路,2014/5/3,轨道维护部门,轨道维修工程师,初级
维保人员,m0002,陈烨赫,男,汉,18074343411,1999/8/26,西安市碑林区钟楼东大街,2008/10/2,轨道维护部门,轨道维修工程师,中级
维保人员,m0003,扶良朋,男,汉,17640039944,1995/10/11,西安市新城区南门外大街,2007/5/16,轨道维护部门,轨道维修工程师,高级
维保人员,m0004,宰星渊,男,汉,13025119552,1998/9/9,西安市莲湖区西一环路,2008/7/27,轨道维护部门,轨道维修工程师,资深
维保人员,m0005,甄景龙,男,汉,15557698376,1999/7/26,西安市高新区高新路,2017/11/9,轨道维护部门,轨道维修工程师,专家
维保人员,m0006,汲良畴,男,汉,13738859450,1995/10/20,西安市未央区未央路,2013/8/19,车辆维护部门,车辆维修技术员,初级
维保人员,m0007,文雅珺,男,汉,17830923221,1978/8/27,西安市灞桥区纬一路,2021/10/28,车辆维护部门,车辆维修技术员,中级
维保人员,m0008,冀浩邈,男,汉,18215953623,1983/1/16,西安市阎良区阎良大道,2021/3/15,车辆维护部门,车辆维修技术员,高级
维保人员,m0009,芮风华,男,汉,15859411296,1987/10/23,西安市长安区长安路,2014/8/5,车辆维护部门,车辆维修技术员,资深
维保人员,m0010,何晋鹏,男,汉,18898231070,1976/5/20,西安市周至县周至大街,2010/5/21,车辆维护部门,车辆维修技术员,专家
维保人员,m0011,邰奇希,男,汉,18062177746,1987/7/21,西安市户县户县大街,2014/11/9,排水与通风维护部门,排水与通风技术员,初级
维保人员,m0012,连华池,男,汉,15270813351,1983/9/1,西安市蓝田县蓝田大道,2021/5/6,排水与通风维护部门,排水与通风技术员,中级
维保人员,m0013,邵皓轩,男,汉,13524742035,1989/1/15,西安市高陵区高陵大道,2020/9/11,排水与通风维护部门,排水与通风技术员,高级
维保人员,m0014,能元德,男,汉,15242865093,1976/12/29,西安市临潼区临潼大街,2017/11/23,排水与通风维护部门,排水与通风技术员,资深
维保人员,m0015,董弘深,男,汉,19987784214,1973/12/28,西安市鄠邑区鄠邑大道,2012/9/15,排水与通风维护部门,排水与通风技术员,专家
维保人员,m0016,聂康成,男,汉,17217026752,2000/9/27,西安市高新区科技路,2012/1/31,排水与通风维护部门,排水与通风技术员,初级
维保人员,m0017,于展鹏,男,汉,13244258943,1976/8/18,西安市雁塔区雁塔路,2008/2/2,安全检测与检测部门,安全检测技术员,中级
维保人员,m0018,陈乐邦,男,汉,13744536265,1989/9/5,西安市碑林区文艺路,2006/10/21,安全检测与检测部门,安全检测技术员,高级
